0,AA,16.564703941345215
1,AA,AB,29.928464651107788
2,AA,AB,AC,47.581246852874756
3,AA,AB,AC,AD,63.5783851146698
4,AA,AB,AC,AD,AE,82.79037570953369
5,AA,AB,AC,AD,AE,AF,95.84109473228455
6,AA,AB,AC,AD,AE,AF,AG,113.61033320426941
7,AA,AB,AC,AD,AE,AF,AG,AH,131.3869707584381
8,AA,AB,AC,AD,AE,AF,AG,AH,AI,142.57790112495422
9,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,161.35539293289185
10,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,138.35891699790955
